"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"21/0184",-3.22034524202075,-0.208824361982277,0.178873199993977,-0.134741286524243,-0.905883504125549
"21/0081",1.11479389161244,-0.597494466411303,-0.141174230141145,-0.551751424172346,-2.1301055134524
"21/0162",-4.60257035387584,-0.431982294506448,-0.0497059177103539,-0.390687988735249,0.376725021069184
"21/0072",-2.11578349256802,-0.785863478102375,-1.86995801367119,-1.00101286019069,0.512346524684243
"21/0013",-0.250099414974121,-0.0450396476248969,-1.10729500995246,-1.15114911129848,-0.818367082772823
"21/0020",-1.30678797762394,0.896276845895093,-0.0531105472986279,0.256165687704712,0.146900662090076
"21/0210",-2.20541311080978,-0.196659724608965,-0.333029549633373,-1.52610420390957,0.219068901601612
"21/0273",1.76763879411216,-1.29866471874697,0.603647453761197,-1.28753150494658,-0.277762934708711
"21/0188",-0.0438779212171888,-0.504500239054955,0.936200813813898,-1.31822519618825,-0.302055289939029
"21/0006",3.17210594130201,-1.24259626170255,-1.52679899044899,-1.08816915780731,-0.96154586029704
"21/0059",2.90342679104254,0.678118222490953,0.797152918195127,1.04190108819198,0.502681096910444
"21/0225",-0.537640208533041,-0.427053619364975,-0.951664483010038,0.21308271745821,0.237702478499999
"21/0264",-1.82554085935289,1.70677741889817,1.05427131995876,-0.379002429959013,1.11053153814246
"21/0281",-0.892817435969482,-1.18263316224601,-0.383178780143482,-0.547722485018713,-1.31523597488707
"21/0019",5.08822632522644,1.44007903141816,0.529463483907726,0.919408367815966,0.566089611572929
"21/0216",-1.37653458703192,0.366686289234399,-1.63290547613084,-2.08125830897598,-0.162041384269934
"21/0114",0.724215655977358,-1.5770709528461,0.573157285902277,-0.0115420035475292,-1.66683879816772
"21/0120",0.512579034756326,-1.29084790412423,0.727815532529455,0.311929589700587,-0.424602254418679
"21/0303",1.76702413479594,0.280043245173418,1.39386262010378,1.36054809750906,-1.38508594346269
"21/0018",-3.2496483975464,2.34165180697258,1.33147410412733,-1.07517198878296,1.05487924051401
"21/0197",0.996568597722079,-1.73610443289747,-1.28680247646979,2.13700447480653,0.853361956554526
"21/0240",0.921828998449871,-0.540400074179539,-0.302711510004284,-0.681795881599346,0.508720088340699
"21/0238",0.279883403013704,-3.33716205673568,-0.0864900611007455,0.553123912361663,-0.383258453894895
"21/0134",-2.06160169767838,-1.76266887127469,0.202360887357679,-0.782755272830858,-1.02137118001921
"21/0007",-0.244090513921893,-0.529300784943733,-2.10039716155525,-0.475471419862374,0.476879630348101
"21/0164",-1.32807385553769,2.17592678354574,0.695642079564571,-0.599640563369939,0.0660390659890744
"21/0158",-0.56168289666293,2.32348467247066,-1.90899236929298,1.5847336370031,-1.0054565686637
"21/0016",1.9937051780886,1.34677882290296,0.139964753716856,1.53788854150559,0.966033531744069
"21/0076",-0.425825886053754,-1.04772789495547,0.477345707812615,0.443898276791095,0.757050631891586
"21/0246",-1.89857321025249,-0.000607114007983038,0.0510658535990636,-0.259862872907851,-0.0992283884635348
"21/0298",-0.716049306859468,-1.92926878898114,0.31748612782184,-1.23941603432159,0.92036918993895
"21/0129",-1.16904422873287,1.6903237256758,0.423127649023782,-0.381967296443571,-0.679608411514018
"21/0025",0.825339743559748,2.92133031122495,-0.838405702813628,-0.657640663037949,-1.70722814044238
"21/0243",-2.68690830001692,-1.24600767367636,-0.0500638271757859,-0.393141997700228,-0.013028847867678
"21/0165",-0.800092955819198,-0.923994415873023,-0.183501725955755,-0.330306652161274,0.0540538894388361
